! first line is a count of cells
1024
! then [x,y,z] position of each cell
! and amplitude and phase
! default units for position are model units
! default units for amplitude is Volts
! default units for phase is radians
225.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-147.958452deg
200.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	-165.303375deg
225.000000mm 	1139.000000mm 	0.000000mm 	1.000000mV 	156.702985deg
200.000000mm 	1206.000000mm 	0.000000mm 	1.000000mV 	139.358062deg
225.000000mm 	1273.000000mm 	0.000000mm 	1.000000mV 	101.364422deg
200.000000mm 	1340.000000mm 	0.000000mm 	1.000000mV 	84.019499deg
225.000000mm 	1407.000000mm 	0.000000mm 	1.000000mV 	46.025859deg
200.000000mm 	1474.000000mm 	0.000000mm 	1.000000mV 	28.680936deg
225.000000mm 	1541.000000mm 	0.000000mm 	1.000000mV 	-9.312704deg
200.000000mm 	1608.000000mm 	0.000000mm 	1.000000mV 	-26.657627deg
225.000000mm 	1675.000000mm 	0.000000mm 	1.000000mV 	-64.651267deg
200.000000mm 	1742.000000mm 	0.000000mm 	1.000000mV 	-81.996190deg
225.000000mm 	1809.000000mm 	0.000000mm 	1.000000mV 	-119.989830deg
200.000000mm 	1876.000000mm 	0.000000mm 	1.000000mV 	-137.334753deg
225.000000mm 	1943.000000mm 	0.000000mm 	1.000000mV 	-175.328394deg
200.000000mm 	2010.000000mm 	0.000000mm 	1.000000mV 	167.326684deg
225.000000mm 	2077.000000mm 	0.000000mm 	1.000000mV 	129.333043deg
250.000000mm 	0.000000mm 	0.000000mm 	1.000000mV 	-103.243588deg
275.000000mm 	67.000000mm 	0.000000mm 	1.000000mV 	-141.237228deg
250.000000mm 	134.000000mm 	0.000000mm 	1.000000mV 	-158.582151deg
275.000000mm 	201.000000mm 	0.000000mm 	1.000000mV 	163.424209deg
250.000000mm 	268.000000mm 	0.000000mm 	1.000000mV 	146.079286deg
275.000000mm 	335.000000mm 	0.000000mm 	1.000000mV 	108.085646deg
250.000000mm 	402.000000mm 	0.000000mm 	1.000000mV 	90.740723deg
275.000000mm 	469.000000mm 	0.000000mm 	1.000000mV 	52.747083deg
250.000000mm 	536.000000mm 	0.000000mm 	1.000000mV 	35.402160deg
275.000000mm 	603.000000mm 	0.000000mm 	1.000000mV 	-2.591480deg
250.000000mm 	670.000000mm 	0.000000mm 	1.000000mV 	-19.936403deg
275.000000mm 	737.000000mm 	0.000000mm 	1.000000mV 	-57.930043deg
250.000000mm 	804.000000mm 	0.000000mm 	1.000000mV 	-75.274966deg
275.000000mm 	871.000000mm 	0.000000mm 	1.000000mV 	-113.268607deg
250.000000mm 	938.000000mm 	0.000000mm 	1.000000mV 	-130.613529deg
275.000000mm 	1005.000000mm 	0.000000mm 	1.000000mV 	-168.607170deg
250.000000mm 	1072.000000mm 	0.000000mm 	1.000000mV 	174.047908deg
